chr	window_Start	window_Stop	AH:num3DmodifyingVars
chr7	135790592	136839168	{'D_spe:1', 'D_mse:1'}
chr7	157810688	158859264	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr8	20447232	21495808	{'D_spe:1'}
chr8	49807360	50855936	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr8	54525952	55574528	{'D_spe:1', 'D_mse:1'}
chr8	55050240	56098816	{'D_mse:1'}
chr8	61865984	62914560	{'V_mse:2', 'V_spe:2'}
chr8	62390272	63438848	{'D_spe:1', 'D_mse:1'}
chr8	62914560	63963136	{'D_spe:1'}
chr8	72351744	73400320	{'D_spe:1', 'D_mse:1'}
chr8	72876032	73924608	{'D_mse:1'}
chr8	80740352	81788928	{'D_spe:1', 'D_mse:1'}
chr8	81264640	82313216	{'D_spe:1', 'D_mse:1'}
chr8	97517568	98566144	{'V_spe:2', 'C_spe:1', 'A_spe:1'}
chr8	99614720	100663296	{'V_spe:2', 'A_mse:1', 'V_mse:2', 'C_mse:2', 'C_spe:2', 'A_spe:1'}
chr8	100139008	101187584	{'V_mse:1', 'V_spe:1', 'C_mse:1', 'C_spe:1'}
chr8	102236160	103284736	{'D_spe:1'}
chr8	102760448	103809024	{'D_mse:1'}
chr8	104333312	105381888	{'D_spe:1', 'D_mse:1'}
chr8	104857600	105906176	{'D_spe:1', 'D_mse:1'}
chr8	119013376	120061952	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr8	123731968	124780544	{'V_mse:1', 'V_spe:1'}
chr8	143130624	144179200	{'C_mse:1', 'C_spe:1'}
chr9	23068672	24117248	{'A_spe:1'}
chr9	26738688	27787264	{'D_spe:1', 'D_mse:1'}
chr9	27262976	28311552	{'V_mse:1', 'V_spe:1'}
chr9	29884416	30932992	{'A_spe:1'}
chr9	35651584	36700160	{'V_mse:1', 'C_mse:1', 'V_spe:1'}
chr9	83361792	84410368	{'D_spe:1', 'D_mse:1'}
chr9	83886080	84934656	{'D_spe:1', 'D_mse:1'}
chr9	109051904	110100480	{'D_spe:1'}
chr9	130547712	131596288	{'A_mse:1', 'A_spe:1'}
chrX	5767168	6815744	{'D_spe:2'}
chrX	6291456	7340032	{'D_spe:2'}
chrX	8912896	9961472	{'A_spe:1'}
chrX	9437184	10485760	{'D_mse:1'}
chrX	11010048	12058624	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chrX	11534336	12582912	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chrX	23068672	24117248	{'D_mse:1'}
chrX	29360128	30408704	{'C_spe:1', 'A_spe:1'}
chrX	31981568	33030144	{'C_spe:1', 'D_spe:1'}
chrX	47185920	48234496	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chrX	71827456	72876032	{'V_spe:1', 'C_spe:1'}
chrX	72351744	73400320	{'V_spe:1', 'C_spe:1'}
chrX	72876032	73924608	{'A_mse:1', 'A_spe:1'}
chrX	73924608	74973184	{'V_spe:1', 'C_spe:1', 'D_spe:1'}
chrX	74448896	75497472	{'D_spe:1'}
chrX	95420416	96468992	{'D_spe:1', 'D_mse:1'}
chrX	95944704	96993280	{'D_spe:1', 'D_mse:1'}
chrX	115867648	116916224	{'D_spe:1', 'D_mse:1'}
chrX	116391936	117440512	{'D_spe:1'}
